metabolite,HMDB,KEGG,geoMean_Tact,geoMean_Tfh,log2FC_TfhvsTact,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells
3-dehydro-L-gulonate/D-glucuronate/L-iduronate,HMDB06334,C00618,21.36211119,21.22119369,-0.1409175,0.294231463,1.171359489,0.489336818,21.49345827,21.39862585,21.47624027,21.08012036,21.15154258,21.2028915,21.30914699
gulonate,HMDB03290,C00800,25.76723712,26.72759675,0.96035963,0.000559328,-7.786829808,0.005116207,25.61502866,25.87700274,25.76862697,25.80829009,26.73554143,26.93970163,26.50754718
Methylisocitric_acid/2-methylcitrate,HMDB06471,C04593,21.89013045,21.43404014,-0.45609031,0.002608574,5.550322847,0.01655646,21.9706503,21.94247436,21.8743202,21.77307692,21.32770649,21.58139709,21.39301684
phenylacetate/(4-hydroxyphenyl)acetaldehyde,HMDB00209,C07086,23.54740209,23.86355687,0.31615478,0.486902337,-0.750221114,0.673004198,23.74336361,23.54280456,23.43149093,23.47194925,23.39077926,23.34848711,24.85140423
"4-Hydroxyphenylacetate/2-Hydroxyphenylacetate/3,4-Dihydroxyphenylacetaldehyde",HMDB00020,C00642,21.6191483,21.59081067,-0.02833763,0.907862064,0.121719126,0.961139648,21.71469308,21.61073153,21.87411668,21.27705192,21.46011343,21.30422101,22.00809758
N-formylanthranilate/noradrenochrome,HMDB04089,C05653,18.79273904,18.16384797,-0.62889107,0.227435969,1.375385656,0.425759092,19.74294988,18.54712424,18.42409892,18.45678311,17.75554444,18.77421002,17.96178946
"4-hydroxy-2-nonenal/3,4-epoxynonanal",HMDB04362,,21.6937555,21.705583,0.0118275,0.908601468,-0.120736606,0.961139648,21.61965934,21.87258251,21.56896587,21.71381427,21.83202204,21.59321863,21.69150833
4(R)-hydroxy-dodec-6Z-enoate/4(S)-hydroxy-dodec-6Z-enoate,,,20.40773676,20.33742944,-0.07030732,0.690258867,0.422433699,0.824376057,20.51792994,20.30969665,20.61521903,20.18810142,20.40674561,20.06071679,20.54482591
linoleic_acid/linoelaidic_acid_(all_trans_C18:2)/octadecadienoate_(n-C18:2),HMDB00673,C01595,25.49632179,25.74254474,0.24622295,0.59524962,-0.566954539,0.761821531,25.63531329,25.58945586,26.12114693,24.63937108,25.20849193,26.14384624,25.87529605
oleic_acid/elaidate/trans-vaccenate,HMDB00207,C00712,27.19339452,27.31223426,0.11883974,0.574559802,-0.60016306,0.750683041,27.37978222,27.04249811,27.43903665,26.91226108,27.40883421,27.51412719,27.01374138
9(10)-EpOME/12(13)-EpOME,HMDB04701,C14825,20.25790677,20.25208074,-0.00582603,0.984518699,0.020392935,0.990820698,20.32293934,20.21023115,20.68445746,19.81399911,19.88937326,20.67503841,20.19183055
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate",HMDB04704,C14828,20.25383078,20.44239135,0.18856057,0.544644191,-0.64953919,0.72956454,20.56248682,20.00619933,20.6334194,19.81321758,20.12234513,20.41021337,20.79461555
pristanic_acid,HMDB00795,,20.95328487,21.09416726,0.14088239,0.347607265,-1.03618123,0.537840097,21.04903661,20.94299053,20.91053269,20.91057964,20.92615546,21.40531109,20.95103523
C20H30O2(4),,,20.89643062,20.7121924,-0.18423822,0.463919008,0.792640971,0.649904557,20.96191239,20.91053162,20.95141909,20.76185937,20.96968497,20.9945485,20.17234374
arachidonic_acid,HMDB01043,C00219,23.14392778,23.16798607,0.02405829,0.949698007,-0.06631367,0.978000266,23.41404761,23.07906643,22.84686501,23.23573207,23.65229724,23.47468975,22.37697121
phytanic_acid/arachidic_acid,HMDB00801,C01607,21.96503078,22.22517687,0.26014609,0.245184002,-1.316297339,0.442505712,21.99259642,21.7939141,22.15828565,21.91532696,21.84806022,22.57437686,22.25309352
C20H32O3(12),,,18.57881407,18.72322695,0.14441288,0.594514203,-0.568122718,0.761821531,18.14120701,19.0157646,18.50809776,18.6501869,19.05106515,18.55230446,18.56631125
docosahexaenoate(DHA),HMDB02183,C06429,22.79798444,22.69215189,-0.10583255,0.693994994,0.416973995,0.824376057,22.84682809,22.8355239,22.70430335,22.8052824,23.03734382,22.94429742,22.09481443
"clupanodonic_acid/docosa-4,7,10,13,16-pentaenoic_acid",HMDB06528,C16513,21.9530563,21.94625888,-0.00679742,0.981258477,0.024688458,0.990820698,22.03069588,22.05708523,21.87048672,21.85395738,22.36206736,22.16080425,21.31590504
UDP-D-glucose/UDP-D-galactose,HMDB00286,C00029,25.40235213,26.01710394,0.61475181,0.096115128,-2.046131741,0.23694495,25.66685036,25.44616706,24.99295821,25.5034329,26.29143896,26.33333138,25.42654149
ADP-mannose/GDP-L-fucose/ADP_alpha-D-glucoside,HMDB06369,C06192,22.38938092,22.14335465,-0.24602627,0.637976933,0.500490951,0.796411608,22.89007319,22.51019682,21.60473165,22.552522,22.59795815,22.56936474,21.26274105
