gene_name,TC1-Tfh,TC1-Tn,TC2-Tfh,TC2-Tn,TC4-Tfh,TC4-Tn
1700019N19Rik,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0
1700020D05Rik,39,18,27,19,37,35
1700020I14Rik,3703,3416,2690,2226,3299,2905
1700020L24Rik,3,14,15,8,9,15
1700020M21Rik,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0
1700020N18Rik,7,0,3,0,9,2
1700021A07Rik,34,28,33,24,48,39
1700021F05Rik,158,126,105,127,168,151
1700021J08Rik,0,1,1,0,0,0
1700021K19Rik,867,750,813,632,880,695
1700021N21Rik,0,0,0,0,0,1
1700022I11Rik,0,1,0,0,0,0
1700022N22Rik,5,12,4,14,9,6
1700023F06Rik,1,0,1,0,1,0
1700023H06Rik,9,6,17,12,19,6
1700024P04Rik,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,231,313,31,156,137,264
1700025N21Rik,0,1,0,0,0,0
1700025N23Rik,0,0,2,1,0,0
1700026D08Rik,0,0,0,0,0,0
1700026D11Rik,19,13,6,20,9,20
1700026L06Rik,0,0,1,0,2,1
1700027A07Rik,0,0,1,1,0,1
1700027F09Rik,6,1,8,0,7,2
1700028B04Rik,0,0,0,0,0,0
1700028E10Rik,109,49,85,38,91,40
1700028I16Rik,1,0,0,0,0,1
1700028J19Rik,4,5,5,5,3,11
1700028K03Rik,2,3,8,1,2,1
1700028N14Rik,3,2,2,3,2,6
1700029H14Rik,2,2,1,4,0,3
1700029I15Rik,46,14,41,16,36,23
1700029J03Rik,3,1,4,0,2,0
1700029J07Rik,105,68,92,56,118,62
1700029M03Rik,3,2,2,0,3,1
1700029M20Rik,8,0,0,0,6,0
1700029N11Rik,0,0,0,0,0,0
1700030C10Rik,32,23,40,51,47,50
1700030C12Rik,0,0,1,1,0,2
1700030C14Rik,1,0,0,0,1,0
1700030J22Rik,6,1,5,1,5,2
1700030K09Rik,200,150,197,137,275,176
1700030O20Rik,0,0,0,0,0,0
1700031F10Rik,0,1,0,0,0,0
1700031M16Rik,0,0,0,0,0,0
1700031P21Rik,0,0,1,0,0,0
1700034H15Rik,43,51,60,53,54,59
1700034I23Rik,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0
1700034P13Rik,2,1,1,1,1,4
1700037C18Rik,52,76,42,47,68,44
1700037F24Rik,0,0,0,0,0,0
1700037H04Rik,322,289,292,256,314,302
1700039E15Rik,0,0,0,0,0,0
1700039M10Rik,1,1,0,1,0,1
1700040D17Rik,1,4,1,4,3,2
1700040L02Rik,20,7,12,8,11,8
1700041G16Rik,13,6,12,4,10,10
1700042O10Rik,1,2,0,1,0,4
1700047K16Rik,2,2,1,3,1,1
1700047M11Rik,0,0,0,0,0,0
1700048O20Rik,19,1,16,5,28,2
1700049G17Rik,59,39,46,23,65,34
1700049J03Rik,0,0,0,0,0,0
1700051O22Rik,1,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,115,97,86,97,126,93
1700055D18Rik,12,7,6,13,16,18
1700056E22Rik,101,243,79,286,83,347
1700056N10Rik,33,37,41,40,41,36
1700057G04Rik,1,0,2,0,1,2
1700057H21Rik,1,0,0,0,0,0
1700058P15Rik,0,0,0,0,0,0
1700061F12Rik,1,0,4,0,2,0
1700061G19Rik,1,4,0,1,0,5
1700063D05Rik,28,1,12,0,32,1
1700063H04Rik,0,0,0,0,0,0
1700064H15Rik,0,0,0,1,1,0
1700064M15Rik,1,0,1,1,1,0
1700065D16Rik,0,5,1,3,2,3
1700066B17Rik,0,0,0,0,1,0
1700066B19Rik,5,22,9,4,14,15
1700066J03Rik,0,0,0,1,0,0
1700066M21Rik,286,214,261,214,295,235
1700066O22Rik,0,0,0,0,0,0
1700067K01Rik,6,20,8,17,16,16
1700069B07Rik,0,0,0,0,0,2
1700071K01Rik,0,0,0,0,0,0
1700072G22Rik,0,2,1,1,0,0
1700073E17Rik,0,0,0,0,1,0
1700074A21Rik,0,0,0,0,0,0
1700080G11Rik,0,0,0,1,0,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,1,2,0,0,1,1
1700084C06Rik,2,2,1,4,4,5
1700084E18Rik,4,19,9,12,2,20
1700084J12Rik,0,0,1,0,0,0
1700085C21Rik,0,0,0,0,0,0
1700086O06Rik,7,7,7,4,7,5
1700086P04Rik,0,1,0,0,1,0
1700088E04Rik,0,0,1,0,1,2
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,1,0,0,0,0
1700092M07Rik,2,3,6,8,4,12
1700093J21Rik,0,2,2,0,0,1
1700093K21Rik,1,0,0,0,0,0
1700094J05Rik,2,0,0,1,0,1
1700096K18Rik,25,43,28,32,31,47
1700097N02Rik,23,70,31,49,19,62
1700099I09Rik,0,0,0,0,0,0
1700101E01Rik,2,3,5,2,4,1
1700101I11Rik,0,0,3,0,0,0
1700102P08Rik,33,72,29,73,24,75
1700104B16Rik,2,1,2,1,3,4
1700105P06Rik,1,1,0,2,0,0
1700106J16Rik,0,0,1,0,1,0
1700108F19Rik,2,0,0,0,2,0
1700109G14Rik,0,0,0,0,0,0
1700109H08Rik,197,230,188,230,173,195
1700110C19Rik,1,2,1,2,2,2
1700110I01Rik,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,1,0
1700110K17Rik,0,0,0,0,0,1
1700111N16Rik,0,0,0,0,0,0
1700112D23Rik,2,0,0,0,0,0
1700112E06Rik,1,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0
1700112J16Rik,0,3,0,0,0,0
1700113A16Rik,24,37,22,28,35,40
1700113H08Rik,0,0,0,0,0,0
1700120B22Rik,1,2,0,1,2,1
1700120C14Rik,8,9,6,6,9,9
1700120K04Rik,0,0,0,0,0,0
1700122E12Rik,0,0,2,3,0,4
1700122O11Rik,0,0,0,1,0,0
1700123M08Rik,11,19,9,8,28,11
1700123O12Rik,0,0,0,0,0,1
1700123O20Rik,519,701,479,611,605,605
1700124L16Rik,7,13,15,10,6,9
1700125G22Rik,0,0,1,2,0,1
1700125H03Rik,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0
1810006J02Rik,199,132,177,132,137,129
1810008B01Rik,0,2,0,0,1,1
1810008I18Rik,0,0,0,0,0,0
1810009A15Rik,21,16,12,17,34,23
1810009J06Rik,4,0,7,0,1,0
1810010H24Rik,4,2,8,4,5,1
1810011H11Rik,23,6,28,7,30,3
1810011O10Rik,0,0,0,0,2,0
1810012K08Rik,0,0,0,1,0,0
1810012K16Rik,3,6,2,8,6,6
1810013L24Rik,1142,1537,1101,1364,1334,1698
1810014B01Rik,32,73,35,52,31,66
1810019D21Rik,2,4,1,2,0,1
1810019N24Rik,8,3,4,1,5,1
1810020O05Rik,1,0,0,0,0,2
1810021B22Rik,8,7,5,3,12,8
1810022K09Rik,350,310,261,268,344,339
1810024B03Rik,19,21,21,17,19,19
1810026B05Rik,1850,2330,1977,2315,1563,1850
1810026J23Rik,849,825,651,759,791,806
1810030O07Rik,1396,1216,1266,1135,1482,1294
1810032O08Rik,196,394,160,311,196,326
1810034E14Rik,92,220,69,157,80,185
1810037I17Rik,370,304,293,226,378,276
1810041H14Rik,26,230,29,186,23,138
1810041L15Rik,24,0,9,0,17,0
1810043G02Rik,223,100,166,70,204,77
1810043H04Rik,179,160,124,116,149,130
1810044D09Rik,3,1,1,1,2,2
1810046K07Rik,21,0,1,0,5,0
1810049J17Rik,3,7,4,7,2,6
1810053B23Rik,0,0,1,1,0,1
1810055G02Rik,147,71,124,76,142,61
1810058I24Rik,569,652,463,568,589,609
1810059C17Rik,0,1,0,3,1,1
1810062G17Rik,11,19,7,16,19,18
1810062O18Rik,36,33,42,19,49,46
2010001A14Rik,39,28,33,28,27,43
2010001E11Rik,0,0,0,2,0,0
2010002M12Rik,9,44,12,33,17,51
2010005H15Rik,0,0,0,0,0,0
2010007H06Rik,276,8,153,4,268,16
2010010A06Rik,0,0,0,0,0,1
2010012O05Rik,68,100,76,69,53,94
2010013B24Rik,1,0,1,0,2,0
2010015M23Rik,7,6,7,10,9,5
2010016I18Rik,8373,4093,5664,2776,9430,4475
2010107E04Rik,404,616,325,522,454,590
2010107G12Rik,5,7,6,10,8,8
2010107G23Rik,91,1,94,1,123,0
2010109A12Rik,2,9,9,3,9,4
2010109I03Rik,53,2,40,0,85,2
2010110E17Rik,1,0,1,0,0,0
2010110K18Rik,2,1,1,0,1,0
2010111I01Rik,758,604,619,569,768,540
2010204K13Rik,12,21,10,20,9,14
2010300C02Rik,69,19,78,13,86,23
2010300F17Rik,2,1,1,0,0,0
2010308F09Rik,0,0,0,1,0,0
2010310C07Rik,0,0,0,0,1,1
2010315B03Rik,463,514,402,392,537,548
2010320M18Rik,41,61,38,45,32,57
2200002D01Rik,21,16,14,17,24,16
2210008F06Rik,0,0,1,1,2,1
2210010C04Rik,0,1,1,3,3,1
2210011C24Rik,9,0,5,0,7,0
2210013O21Rik,202,104,219,105,248,101
2210015D19Rik,182,270,129,226,169,250
2210016F16Rik,769,642,635,536,746,612
2210016L21Rik,590,625,501,465,598,554
2210018M11Rik,1884,1735,1675,1542,1888,1755
2210404O09Rik,278,231,240,183,293,200
2210406O10Rik,3,3,0,2,1,2
2210408F21Rik,21,0,8,0,13,0
2210408I21Rik,33,26,47,6,40,17
2210411M09Rik,0,0,0,0,0,0
2210414B05Rik,0,0,0,0,0,0
2210417A02Rik,21,2,19,0,25,2
2300005B03Rik,0,0,0,1,0,0
2300009A05Rik,104,206,96,186,117,191
2310001H17Rik,1882,252,1429,250,1962,304
2310001K24Rik,0,0,0,0,0,0
2310002F09Rik,4,6,2,4,5,3
2310003H01Rik,397,497,387,451,446,493
2310007L24Rik,0,1,0,1,0,0
2310009A05Rik,152,180,111,122,165,161
2310009B15Rik,40,49,34,47,36,66
2310010G23Rik,3,3,5,2,3,1
2310010J17Rik,21,43,25,44,33,42
2310011J03Rik,473,581,370,433,440,525
2310014F06Rik,0,0,0,0,0,0
2310015A10Rik,1083,170,1114,129,1440,211
2310015D24Rik,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0
2310016D23Rik,18,16,11,8,11,20
2310022A10Rik,512,618,449,466,531,552
2310022B05Rik,424,266,415,255,450,246
2310026I22Rik,0,2,0,2,3,4
2310026L22Rik,0,0,1,1,0,1
2310030G06Rik,0,0,0,0,0,0
2310031A07Rik,14,7,22,5,21,7
2310033P09Rik,363,431,340,396,369,403
2310034G01Rik,0,2,2,1,1,4
2310035C23Rik,1985,1918,1834,1828,2052,2030
2310036O22Rik,1771,1901,1500,1634,1734,1782
2310039H08Rik,56,159,47,89,71,137
2310040G24Rik,0,2,0,2,0,3
2310043L19Rik,21,0,2,0,18,0
2310043M15Rik,3,4,2,0,2,4
2310043O21Rik,1,2,0,0,1,0
2310044K18Rik,5,7,4,9,13,10
2310045N01Rik,687,753,584,539,734,759
2310047D07Rik,1,1,0,1,1,6
2310047M10Rik,352,271,302,218,307,225
2310057M21Rik,193,254,196,189,199,236
2310058D17Rik,30,58,26,35,40,71
2310061I04Rik,506,626,458,511,542,537
2310067B10Rik,2574,1879,2398,1570,2815,2019
2310068J16Rik,2,0,0,1,1,1
2310069G16Rik,0,0,1,0,0,0
2310075C17Rik,0,0,0,0,0,0
2410002F23Rik,924,1472,867,1346,1006,1446
2410003L11Rik,6,15,6,7,7,14
2410004B18Rik,297,387,243,347,302,345
2410004P03Rik,10,2,7,4,13,6
2410006H16Rik,694,1240,614,969,703,1040
2410012M07Rik,0,0,0,0,0,0
2410015M20Rik,493,651,406,509,484,587
2410016O06Rik,343,489,292,363,355,473
2410017I17Rik,1,0,1,0,0,0
2410018L13Rik,17,2,26,2,31,2
2410022M11Rik,73,57,82,58,105,61
2410080I02Rik,0,0,0,0,0,0
2410089E03Rik,1089,957,930,994,1134,1057
2410127L17Rik,66,55,45,58,64,78
2410131K14Rik,427,600,382,527,438,662
2500002B13Rik,13,11,5,8,15,15
2500004C02Rik,44,23,32,13,51,31
2510002D24Rik,450,623,455,541,555,653
2510009E07Rik,154,177,198,116,176,167
2510039O18Rik,1608,1824,1297,1535,1474,1776
2510046G10Rik,17,41,9,36,11,39
2600006K01Rik,0,0,0,0,0,0
2600014E21Rik,0,0,0,0,0,0
2610001J05Rik,425,447,333,327,439,385
2610002J02Rik,825,814,675,677,872,834
2610002M06Rik,801,887,738,747,834,865
2610005L07Rik,94,82,104,83,67,96
2610008E11Rik,792,671,833,629,952,709
2610015P09Rik,228,158,188,141,246,149
2610016A17Rik,0,0,0,0,0,0
2610020C07Rik,5,6,8,1,15,14
2610020H08Rik,342,659,347,656,410,694
2610021A01Rik,578,585,549,461,677,546
2610024D14Rik,3,3,2,0,2,6
2610027K06Rik,0,0,0,0,0,0
2610034B18Rik,0,0,1,0,0,0
2610035D17Rik,611,398,619,367,811,508
2610037D02Rik,42,64,51,53,61,73
2610042L04Rik,18,0,43,0,14,0
2610044O15Rik8,325,336,272,287,352,359
2610203C22Rik,0,0,0,0,0,0
2610204G07Rik,193,3,176,2,255,6
2610206C17Rik,4,1,2,2,3,0
2610301B20Rik,315,115,228,116,326,119
2610305D13Rik,1,0,1,0,0,0
2610306M01Rik,31,24,20,23,31,44
2610307P16Rik,2,5,5,4,3,6
2610318N02Rik,32,18,27,14,37,32
2610507B11Rik,4768,6281,4417,5681,5016,6315
2610507I01Rik,129,173,106,161,116,206
2610509F24Rik,1,2,0,8,1,10
2610524H06Rik,121,106,115,69,127,88
2610528A11Rik,0,2,3,0,1,0
2700012I20Rik,5,4,3,5,5,5
2700016F22Rik,3,2,2,6,4,1
2700029M09Rik,535,541,438,483,576,514
2700038G22Rik,16,33,24,35,21,36
2700046G09Rik,6,17,5,17,4,17
2700049A03Rik,333,385,288,331,350,446
2700060E02Rik,942,1086,834,796,968,1041
2700062C07Rik,194,213,209,171,247,199
2700068H02Rik,1,0,0,0,0,2
2700078F05Rik,0,0,0,0,0,0
2700081O15Rik,35,21,18,10,35,11
2700094K13Rik,192,324,156,281,207,301
2700097O09Rik,368,253,277,269,370,236
2700099C18Rik,34,37,42,29,56,30
2810001G20Rik,59,246,52,194,73,272
2810002D19Rik,42,49,41,46,60,66
2810004N23Rik,294,451,240,382,296,494
2810006K23Rik,135,148,129,141,198,157
2810013P06Rik,224,490,209,393,233,454
2810021J22Rik,389,458,398,423,439,448
2810025M15Rik,0,0,0,0,1,1
2810029C07Rik,15,9,14,8,11,7
2810030D12Rik,1,0,0,0,1,0
2810032G03Rik,0,0,0,0,0,0
2810039B14Rik,149,30,94,31,149,41
2810402E24Rik,88,82,78,82,84,115
2810403A07Rik,2110,2470,1908,2216,2297,2466
2810403D21Rik,32,40,25,22,33,38
2810404F17Rik,0,0,0,0,0,0
2810405F17Rik,9,12,7,12,9,11
2810407A14Rik,0,0,0,0,1,0
2810408A11Rik,21,77,27,51,25,65
2810408I11Rik,6,23,3,16,3,14
2810410L24Rik,0,12,2,7,0,9
2810414N06Rik,3,3,7,2,2,3
2810417H13Rik,31,0,35,5,61,6
2810425M01Rik,0,0,0,1,0,0
2810428I15Rik,322,406,271,306,341,363
2810429I04Rik,45,8,50,8,62,5
2810433D01Rik,0,0,0,0,0,0
2810442N19Rik,0,0,1,0,0,0
2810454H06Rik,40,50,60,74,80,100
2810455O05Rik,40,37,31,48,52,33
2810459M11Rik,0,1,2,0,0,1
2810468N07Rik,30,2,11,1,19,0
2810474O19Rik,3263,3595,2689,2666,3076,3097
2900005J15Rik,71,131,80,95,83,120
2900009J06Rik,0,0,1,0,0,0
2900011O08Rik,0,0,0,1,0,0
2900018N21Rik,0,0,0,0,0,0
2900026A02Rik,319,2,303,2,347,5
2900041M22Rik,7,4,7,5,5,6
2900052L18Rik,0,0,0,0,0,0
2900052N01Rik,0,0,1,0,0,0
2900055J20Rik,0,0,1,0,0,0
2900076A07Rik,118,126,110,106,196,117
2900079G21Rik,0,1,0,0,0,0
2900089D17Rik,8,9,9,5,11,7
2900092O11Rik,0,0,0,0,0,0
2900093K20Rik,6,20,6,10,5,18
2900097C17Rik,142,140,122,146,120,151
3000002C10Rik,42,38,36,40,61,57
3010001F23Rik,0,1,0,4,0,1
3010003L21Rik,3,6,13,3,6,6
3010026O09Rik,61,48,54,31,67,44
3110001I22Rik,98,157,107,130,128,168
3110002H16Rik,1412,2152,1410,2042,1479,2223
3110009E18Rik,40,74,31,52,44,83
3110021A11Rik,0,0,0,0,0,0
3110040N11Rik,280,323,204,209,267,287
3110043O21Rik,349,259,268,255,328,240
3110045C21Rik,0,0,0,1,0,1
3110052M02Rik,201,202,178,181,195,205
3110053B16Rik,92,84,74,66,68,71
3110056K07Rik,152,243,123,208,147,206
3110057O12Rik,219,241,251,224,245,264
3110062G12Rik,1,0,3,1,1,1
3110062M04Rik,197,146,167,109,243,167
3110067C02Rik,3,1,2,0,7,1
3110070M22Rik,5,5,7,5,5,6
3110079O15Rik,3,2,0,0,0,0
3110080O07Rik,0,0,0,0,0,0
3110082I17Rik,33,26,21,27,25,29
3110083C13Rik,2,3,4,3,9,7
3222401L13Rik,7,17,12,5,15,7
3300002I08Rik,37,52,38,33,46,34
3300005D01Rik,0,7,1,10,2,13
3425401B19Rik,5,0,1,0,4,0
3632451O06Rik,0,0,0,0,0,0
3632454L22Rik,0,0,0,0,1,0
3830403N18Rik,15,1,26,19,7,29
3830406C13Rik,491,246,430,222,523,268
3830408C21Rik,6,5,7,6,8,6
3830432H09Rik,1,0,0,0,0,0
3930402G23Rik,0,0,0,0,0,0
4430402I18Rik,1,3,3,3,5,0
4631405J19Rik,2,2,0,1,2,2
4632404H12Rik,217,530,196,438,264,658
4632411P08Rik,5,3,0,4,1,2
4632415L05Rik,345,399,290,359,399,459
4632427E13Rik,56,53,64,51,79,66
4632428C04Rik,6,0,2,1,2,0
4632428N05Rik,8092,7147,6365,6410,8358,7191
4632433K11Rik,76,82,54,54,75,60
4731419I09Rik,0,0,0,0,0,0
4732414G09Rik,1,0,0,0,2,0
4732419C18Rik,3,1,0,2,5,0
4732440D04Rik,97,130,71,78,112,112
4732456N10Rik,0,0,0,0,0,0
4732463B04Rik,0,0,0,0,0,0
4732465J04Rik,18,4,6,12,9,5
4732471J01Rik,7,10,8,14,9,10
4732487G21Rik,0,2,0,2,0,1
4732490B19Rik,8,5,8,3,10,5
4732491K20Rik,12,2,13,6,19,2
4831440E17Rik,4,17,5,9,5,23
4833407H14Rik,128,20,79,6,100,17
4833412C05Rik,2,0,0,0,1,0
4833412K13Rik,18,4,10,13,13,14
4833413E03Rik,0,3,1,5,2,4
4833417C18Rik,4,15,10,18,9,23
4833418N02Rik,13,42,17,28,12,31
4833420G17Rik,2042,2272,2026,2200,2225,2314
4833421G17Rik,0,0,1,0,0,1
4833422C13Rik,2,0,3,0,0,0
4833422M21Rik,0,0,0,1,0,1
4833423E24Rik,0,0,0,0,0,0
4833428L15Rik,0,0,0,0,0,0
4833439L19Rik,1180,1017,1016,923,1176,965
4833445I07Rik,17,16,18,14,17,13
4921504A21Rik,0,0,1,0,0,0
4921504E06Rik,0,1,0,0,0,0
4921507L20Rik,0,0,0,0,0,0
4921507P07Rik,26,56,25,54,22,52
4921508D12Rik,0,0,0,0,0,0
4921508M14Rik,0,0,0,0,0,0
4921513D11Rik,2,1,1,1,2,0
4921513I03Rik,0,0,0,0,0,0
4921514A10Rik,0,1,1,0,0,0
4921517D22Rik,0,3,0,10,1,4
4921518K17Rik,0,0,0,0,1,0
4921522P10Rik,0,0,0,0,0,0
4921523L03Rik,0,0,0,0,0,1
4921524J17Rik,392,260,345,232,416,278
4921528I07Rik,0,0,0,0,0,0
4921531C22Rik,35,39,29,31,41,35
4921536K21Rik,4,0,2,1,4,0
4922502D21Rik,1,0,0,0,0,0
4930402F06Rik,0,0,0,0,0,0
4930402H24Rik,831,617,745,570,896,650
4930403O15Rik,0,0,0,0,0,1
4930403P22Rik,0,0,3,0,0,1
4930404H24Rik,1,0,0,0,0,0
4930404I05Rik,1,0,0,0,0,1
4930404N11Rik,24,32,22,44,28,40
4930405A21Rik,7,6,14,7,15,19
4930405O22Rik,2,2,0,1,1,2
4930407I10Rik,0,0,0,0,0,0
4930412C18Rik,0,0,0,0,0,0
4930412F09Rik,0,1,0,0,0,0
4930412L05Rik,1,0,1,2,0,1
4930412M03Rik,16,16,6,6,16,14
4930412O13Rik,4,2,6,0,9,1
4930415F15Rik,3,7,7,7,7,8
4930415O20Rik,0,1,0,0,0,0
4930417H01Rik,1,0,2,0,0,1
4930422M22Rik,0,0,0,0,0,0
4930423C22Rik,0,0,0,0,0,0
4930426D05Rik,0,3,0,1,0,0
4930426I24Rik,1,0,0,0,2,1
4930426L09Rik,21,28,24,52,33,45
4930427A07Rik,156,97,120,96,110,98
4930428N03Rik,0,0,0,0,0,0
4930429F24Rik,4,6,8,11,9,10
4930430E12Rik,0,0,0,0,0,0
4930430F08Rik,129,136,106,91,147,125
4930431P03Rik,882,44,771,32,1145,54
4930432B10Rik,0,1,0,1,0,0
4930432E11Rik,0,0,0,0,0,0
4930432K21Rik,20,66,23,58,23,56
4930432L08Rik,0,0,0,0,0,0
4930433N12Rik,0,0,0,0,0,0
4930435H24Rik,0,0,0,0,0,0
4930438A08Rik,0,0,0,0,0,0
4930439D14Rik,2,3,5,3,4,4
4930440I19Rik,0,0,0,0,0,0
