"MID","X2wayAnova_pval","padj_lim_X2wayAnova_pval"
"MID_1",0.568802983,0.929192608946809
"MID_2",0.131818926,0.772488797769231
"MID_3",0.140377074,0.772488797769231
"MID_4",0.649192187,0.929192608946809
"MID_5",0.033360647,0.568612453285714
"MID_6",0.772706079,0.929192608946809
"MID_7",0.936598684,0.994052146
"MID_8",0.732203872,0.929192608946809
"MID_9",0.559262013,0.929192608946809
"MID_10",0.609911465,0.929192608946809
"MID_11",0.774999886,0.929192608946809
"MID_12",0.733143905,0.929192608946809
"MID_13",0.049845888,0.614765952
"MID_14",0.68597034,0.929192608946809
"MID_15",0.724575918,0.929192608946809
"MID_16",0.677706461,0.929192608946809
"MID_17",0.702475183,0.929192608946809
"MID_18",0.904092634,0.994052146
"MID_19",0.601053518,0.929192608946809
"MID_20",0.041576582,0.57687507525
"MID_21",0.310252786,0.821435690372093
"MID_22",0.497111812,0.929192608946809
"MID_23",0.109805046,0.772488797769231
"MID_24",0.722857448,0.929192608946809
"MID_25",0.672326267,0.929192608946809
"MID_26",0.707310268,0.929192608946809
"MID_27",0.665422628,0.929192608946809
"MID_28",0.533975759,0.929192608946809
"MID_29",0.26649972,0.772488797769231
"MID_30",0.799177303,0.933775585610526
"MID_31",0.033160363,0.568612453285714
"MID_32",0.125491146,0.772488797769231
"MID_33",0.782073447,0.929192608946809
"MID_34",0.978069576,0.994052146
"MID_35",0.031935409,0.568612453285714
"MID_36",0.810435999,0.93706662384375
"MID_37",0.640685618,0.929192608946809
"MID_38",0.621295582,0.929192608946809
"MID_39",0.178185086,0.772488797769231
"MID_40",0.943338057,0.994052146
"MID_41",0.192956727,0.772488797769231
"MID_42",0.063569612,0.646792252615385
"MID_43",0.987640501,0.994052146
"MID_44",0.307600062,0.821435690372093
"MID_45",0.696263494,0.929192608946809
"MID_46",0.541112642,0.929192608946809
"MID_47",0.653469484,0.929192608946809
"MID_48",0.317012428,0.821435690372093
"MID_49",0.660455759,0.929192608946809
"MID_50",0.534279699,0.929192608946809
"MID_51",0.674773851,0.929192608946809
"MID_52",0.48618098,0.929192608946809
"MID_53",0.935658484,0.994052146
"MID_54",0.114580365,0.772488797769231
"MID_55",0.27036441,0.772488797769231
"MID_56",0.944810381,0.994052146
"MID_57",0.075734315,0.646792252615385
"MID_58",0.000130018,0.014431998
"MID_59",0.035858443,0.568612453285714
"MID_60",0.561184953,0.929192608946809
"MID_61",0.00709158,0.26238846
"MID_62",0.218098926,0.772488797769231
"MID_63",0.270130505,0.772488797769231
"MID_64",0.387710579,0.915656899340426
"MID_65",0.375229564,0.90544525226087
"MID_66",0.977291338,0.994052146
"MID_67",0.271414983,0.772488797769231
"MID_68",0.075750444,0.646792252615385
"MID_69",0.514152931,0.929192608946809
"MID_70",0.702182829,0.929192608946809
"MID_71",0.338733021,0.85453103025
"MID_72",0.445274076,0.929192608946809
"MID_73",0.772934866,0.929192608946809
"MID_74",0.475251137,0.929192608946809
"MID_75",0.454583845,0.929192608946809
"MID_76",0.355902873,0.8778937534
"MID_77",0.227500923,0.772488797769231
"MID_78",0.438999931,0.929192608946809
"MID_79",0.181739194,0.772488797769231
"MID_80",0.229336471,0.772488797769231
"MID_81",0.266769572,0.772488797769231
"MID_82",0.600722005,0.929192608946809
"MID_83",0.318213826,0.821435690372093
"MID_84",0.228063586,0.772488797769231
"MID_85",0.644966822,0.929192608946809
"MID_86",0.128964947,0.772488797769231
"MID_87",0.786883831,0.929192608946809
"MID_88",0.994052146,0.994052146
"MID_89",0.254089543,0.772488797769231
"MID_90",0.003590085,0.1992497175
"MID_91",0.739500503,0.929192608946809
"MID_92",0.883428051,0.994052146
"MID_93",0.574297998,0.929192608946809
"MID_94",0.141068096,0.772488797769231
"MID_95",0.953337789,0.994052146
"MID_96",0.253080367,0.772488797769231
"MID_97",0.235671347,0.772488797769231
"MID_98",0.632796618,0.929192608946809
"MID_99",0.074835535,0.646792252615385
"MID_100",0.255328352,0.772488797769231
"MID_101",0.895053412,0.994052146
"MID_102",0.648147732,0.929192608946809
"MID_103",0.269669397,0.772488797769231
"MID_104",0.988036161,0.994052146
"MID_105",0.951152447,0.994052146
"MID_106",0.783973009,0.929192608946809
"MID_107",0.559040404,0.929192608946809
"MID_108",0.258455411,0.772488797769231
"MID_109",0.484937517,0.929192608946809
"MID_110",0.1610452,0.772488797769231
"MID_239",0.901776372,0.994052146
