gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,TC1-Tfh,TC2-Tfh,TC4-Tfh
1700016K19Rik,4,6,6,14,9,3,8
1700016L21Rik,2,0,0,0,0,0,0
1700016P03Rik,7,4,4,2,15,9,2
1700017B05Rik,2541,2000,1909,1699,1847,1357,1792
1700017G19Rik,0,0,0,0,0,0,0
1700018A14Rik,0,0,0,0,0,0,1
1700018B08Rik,0,1,1,0,0,0,1
1700018L02Rik,2,3,3,2,4,5,3
1700018M17Rik,0,1,1,0,2,1,2
1700019A02Rik,2,1,2,2,2,0,2
1700019B03Rik,4,2,3,1,4,0,0
1700019D03Rik,693,570,742,559,298,252,423
1700019G17Rik,156,176,172,149,87,96,117
1700019L03Rik,28,27,18,11,23,20,19
1700019N19Rik,0,0,0,1,0,0,0
1700019O17Rik,0,0,0,0,0,0,0
1700020D05Rik,30,26,22,41,39,27,37
1700020I14Rik,5385,4546,5083,4918,3703,2690,3299
1700020L24Rik,29,24,22,17,3,15,9
1700020M21Rik,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,1,0,0,0
1700020N18Rik,24,15,17,10,7,3,9
1700021A07Rik,38,63,39,41,34,33,48
1700021F05Rik,162,168,145,152,158,105,168
1700021J08Rik,0,0,0,0,0,1,0
1700021K19Rik,877,838,890,904,867,813,880
1700021N21Rik,0,0,0,0,0,0,0
1700022I11Rik,0,0,1,1,0,0,0
1700022N22Rik,8,5,1,4,5,4,9
1700023F06Rik,0,0,0,2,1,1,1
1700023H06Rik,1,6,3,2,9,17,19
1700024P04Rik,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,1,0,0,0
1700025F24Rik,0,0,1,0,0,0,0
1700025G04Rik,21,38,24,39,231,31,137
1700025N21Rik,0,0,0,0,0,0,0
1700025N23Rik,1,0,0,1,0,2,0
1700026D08Rik,0,0,0,0,0,0,0
1700026D11Rik,4,2,1,4,19,6,9
1700026L06Rik,0,1,0,0,0,1,2
1700027A07Rik,0,0,0,0,0,1,0
1700027F09Rik,6,12,10,7,6,8,7
1700028B04Rik,0,0,0,0,0,0,0
1700028E10Rik,190,138,133,101,109,85,91
1700028I16Rik,0,0,0,1,1,0,0
1700028J19Rik,5,12,15,7,4,5,3
1700028K03Rik,0,2,0,0,2,8,2
1700028N14Rik,0,1,3,2,3,2,2
1700029H14Rik,0,0,0,1,2,1,0
1700029I15Rik,61,57,58,52,46,41,36
1700029J03Rik,3,2,4,18,3,4,2
1700029J07Rik,85,58,70,62,105,92,118
1700029M03Rik,0,0,0,0,3,2,3
1700029M20Rik,1,2,8,4,8,0,6
1700029N11Rik,0,0,0,0,0,0,0
1700030C10Rik,10,13,13,7,32,40,47
1700030C12Rik,2,1,0,0,0,1,0
1700030C14Rik,0,0,2,1,1,0,1
1700030J22Rik,15,7,13,12,6,5,5
1700030K09Rik,148,151,107,124,200,197,275
1700030O20Rik,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,1,0
1700034H15Rik,17,18,15,13,43,60,54
1700034I23Rik,0,0,0,1,0,0,0
1700034O15Rik,0,0,0,1,0,0,0
1700034P13Rik,1,1,1,1,2,1,1
1700037C18Rik,80,101,73,84,52,42,68
1700037F24Rik,1,0,0,0,0,0,0
1700037H04Rik,419,375,381,373,322,292,314
1700039E15Rik,0,1,0,0,0,0,0
1700039M10Rik,0,0,0,0,1,0,0
1700040D17Rik,1,4,3,5,1,1,3
1700040L02Rik,30,36,25,26,20,12,11
1700041G16Rik,13,13,11,14,13,12,10
1700042O10Rik,3,2,3,2,1,0,0
1700047K16Rik,1,2,0,0,2,1,1
1700047M11Rik,0,0,0,0,0,0,0
1700048O20Rik,24,21,20,18,19,16,28
1700049G17Rik,228,175,201,171,59,46,65
1700049J03Rik,0,1,0,0,0,0,0
1700051O22Rik,1,1,0,0,1,0,0
1700052I22Rik,0,0,0,0,0,0,0
1700052K11Rik,144,131,119,131,115,86,126
1700055D18Rik,8,8,5,6,12,6,16
1700056E22Rik,18,9,13,13,101,79,83
1700056N10Rik,17,7,17,14,33,41,41
1700057G04Rik,0,0,0,1,1,2,1
1700057H21Rik,0,0,1,0,1,0,0
1700058P15Rik,0,0,0,0,0,0,0
1700061F12Rik,2,0,0,2,1,4,2
1700061G19Rik,0,1,1,0,1,0,0
1700063D05Rik,8,17,24,12,28,12,32
1700063H04Rik,0,0,0,0,0,0,0
1700064H15Rik,1,0,0,1,0,0,1
1700064M15Rik,1,0,0,0,1,1,1
1700065D16Rik,2,2,0,1,0,1,2
1700066B17Rik,1,0,2,0,0,0,1
1700066B19Rik,20,21,24,23,5,9,14
1700066J03Rik,0,0,0,0,0,0,0
1700066M21Rik,327,344,343,358,286,261,295
1700066O22Rik,0,0,0,0,0,0,0
1700067K01Rik,10,5,8,5,6,8,16
1700069B07Rik,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0
1700072G22Rik,0,0,0,0,0,1,0
1700073E17Rik,1,0,0,0,0,0,1
1700074A21Rik,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0
1700082M22Rik,0,0,0,1,1,0,1
1700084C06Rik,3,2,5,5,2,1,4
1700084E18Rik,6,11,7,8,4,9,2
1700084J12Rik,0,0,0,0,0,1,0
1700085C21Rik,0,0,0,0,0,0,0
1700086O06Rik,17,15,8,4,7,7,7
1700086P04Rik,1,2,2,0,0,0,1
1700088E04Rik,2,0,3,3,0,1,1
1700092C02Rik,0,0,0,0,0,0,0
1700092C10Rik,0,1,0,0,0,0,0
1700092M07Rik,3,3,4,2,2,6,4
1700093J21Rik,1,0,0,2,0,2,0
1700093K21Rik,0,0,0,0,1,0,0
1700094J05Rik,0,0,0,0,2,0,0
1700096K18Rik,45,47,27,28,25,28,31
1700097N02Rik,26,40,15,41,23,31,19
1700099I09Rik,0,0,0,0,0,0,0
1700101E01Rik,12,12,9,10,2,5,4
1700101I11Rik,0,1,1,0,0,3,0
1700102P08Rik,19,24,27,32,33,29,24
1700104B16Rik,0,0,0,0,2,2,3
1700105P06Rik,0,1,1,2,1,0,0
1700106J16Rik,0,0,1,0,0,1,1
1700108F19Rik,0,1,0,0,2,0,2
1700109G14Rik,0,0,0,0,0,0,0
1700109H08Rik,83,41,49,47,197,188,173
1700110C19Rik,3,3,3,3,1,1,2
1700110I01Rik,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,1
1700110K17Rik,0,2,0,1,0,0,0
1700111N16Rik,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,2,2,0,0
1700112E06Rik,0,0,0,0,1,0,0
1700112J05Rik,0,0,0,1,0,0,0
1700112J16Rik,0,0,1,0,0,0,0
1700113A16Rik,40,59,32,44,24,22,35
1700113H08Rik,0,0,0,1,0,0,0
1700120B22Rik,3,0,0,0,1,0,2
1700120C14Rik,6,13,5,13,8,6,9
1700120K04Rik,0,0,0,0,0,0,0
1700122E12Rik,1,2,0,1,0,2,0
1700122O11Rik,0,0,0,0,0,0,0
1700123M08Rik,20,8,15,18,11,9,28
1700123O12Rik,0,0,0,0,0,0,0
1700123O20Rik,756,814,736,746,519,479,605
1700124L16Rik,8,7,0,5,7,15,6
1700125G22Rik,0,1,0,0,0,1,0
1700125H03Rik,0,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0,0
1810006J02Rik,151,191,137,124,199,177,137
1810008B01Rik,1,1,1,0,0,0,1
1810008I18Rik,0,0,0,0,0,0,0
1810009A15Rik,25,22,24,26,21,12,34
1810009J06Rik,20,20,13,4,4,7,1
1810010H24Rik,15,7,7,6,4,8,5
1810011H11Rik,14,37,16,29,23,28,30
1810011O10Rik,0,0,3,0,0,0,2
1810012K08Rik,1,0,0,0,0,0,0
1810012K16Rik,4,0,1,4,3,2,6
1810013L24Rik,1431,1373,1413,1385,1142,1101,1334
1810014B01Rik,49,54,51,53,32,35,31
1810019D21Rik,0,1,1,0,2,1,0
1810019N24Rik,6,5,8,4,8,4,5
1810020O05Rik,0,0,0,0,1,0,0
1810021B22Rik,8,11,9,10,8,5,12
1810022K09Rik,306,406,317,352,350,261,344
1810024B03Rik,14,24,13,15,19,21,19
1810026B05Rik,1223,1165,1037,1215,1850,1977,1563
1810026J23Rik,990,981,987,977,849,651,791
1810030O07Rik,1669,1699,1630,1638,1396,1266,1482
1810032O08Rik,201,211,193,208,196,160,196
1810034E14Rik,123,121,105,131,92,69,80
1810037I17Rik,405,527,443,456,370,293,378
1810041H14Rik,15,23,16,15,26,29,23
1810041L15Rik,7,2,3,7,24,9,17
1810043G02Rik,249,244,188,208,223,166,204
1810043H04Rik,201,283,196,229,179,124,149
1810044D09Rik,17,15,15,18,3,1,2
1810046K07Rik,2,0,1,1,21,1,5
1810049J17Rik,5,3,5,7,3,4,2
1810053B23Rik,0,0,1,0,0,1,0
1810055G02Rik,147,183,160,162,147,124,142
1810058I24Rik,692,871,754,790,569,463,589
1810059C17Rik,1,2,0,1,0,0,1
1810062G17Rik,5,21,20,15,11,7,19
1810062O18Rik,42,47,30,60,36,42,49
2010001A14Rik,75,54,57,41,39,33,27
2010001E11Rik,0,0,0,0,0,0,0
2010002M12Rik,31,34,26,11,9,12,17
2010005H15Rik,20,22,26,15,0,0,0
2010007H06Rik,205,152,194,201,276,153,268
2010010A06Rik,0,0,0,0,0,0,0
2010012O05Rik,92,93,94,102,68,76,53
2010013B24Rik,0,0,0,0,1,1,2
2010015M23Rik,3,4,9,6,7,7,9
2010016I18Rik,8874,7466,7984,8232,8373,5664,9430
2010107E04Rik,600,739,593,616,404,325,454
2010107G12Rik,12,8,13,3,5,6,8
2010107G23Rik,189,182,165,108,91,94,123
2010109A12Rik,4,3,2,7,2,9,9
2010109I03Rik,144,75,73,71,53,40,85
2010110E17Rik,3,0,0,0,1,1,0
2010110K18Rik,0,1,3,2,2,1,1
2010111I01Rik,696,780,709,674,758,619,768
2010204K13Rik,19,21,11,10,12,10,9
2010300C02Rik,79,62,41,46,69,78,86
2010300F17Rik,1,2,1,3,2,1,0
2010308F09Rik,0,0,0,0,0,0,0
2010310C07Rik,0,0,0,1,0,0,1
2010315B03Rik,647,552,498,506,463,402,537
2010320M18Rik,57,57,49,41,41,38,32
2200002D01Rik,25,14,14,16,21,14,24
2210008F06Rik,0,0,0,2,0,1,2
2210010C04Rik,2,6,6,2,0,1,3
2210011C24Rik,11,12,10,15,9,5,7
2210013O21Rik,349,377,333,328,202,219,248
2210015D19Rik,147,175,145,152,182,129,169
2210016F16Rik,1013,1112,988,946,769,635,746
2210016L21Rik,663,723,636,655,590,501,598
2210018M11Rik,1585,1495,1705,1587,1884,1675,1888
2210404O09Rik,274,319,295,289,278,240,293
2210406O10Rik,1,1,2,0,3,0,1
2210408F21Rik,29,23,25,26,21,8,13
2210408I21Rik,28,25,38,34,33,47,40
2210411M09Rik,0,0,0,0,0,0,0
2210414B05Rik,0,0,0,0,0,0,0
2210417A02Rik,35,30,28,35,21,19,25
2300005B03Rik,0,0,0,0,0,0,0
2300009A05Rik,166,166,143,154,104,96,117
2310001H17Rik,2328,2144,2221,2049,1882,1429,1962
2310001K24Rik,0,0,0,0,0,0,0
2310002F09Rik,12,13,10,10,4,2,5
2310003H01Rik,484,564,501,535,397,387,446
2310007L24Rik,0,0,0,0,0,0,0
2310009A05Rik,170,207,155,174,152,111,165
2310009B15Rik,32,67,49,53,40,34,36
2310010G23Rik,8,3,9,10,3,5,3
2310010J17Rik,43,54,36,39,21,25,33
2310011J03Rik,760,954,710,749,473,370,440
2310014F06Rik,0,0,0,0,0,0,0
2310015A10Rik,1766,1252,1220,1224,1083,1114,1440
2310015D24Rik,0,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0,0
2310016D23Rik,11,10,9,10,18,11,11
2310022A10Rik,600,643,546,594,512,449,531
2310022B05Rik,400,538,488,573,424,415,450
2310026I22Rik,4,1,0,1,0,0,3
2310026L22Rik,0,0,0,0,0,1,0
2310030G06Rik,0,0,0,0,0,0,0
2310031A07Rik,20,26,25,27,14,22,21
2310033P09Rik,432,477,429,427,363,340,369
2310034G01Rik,3,2,3,2,0,2,1
2310035C23Rik,1642,1485,1514,1470,1985,1834,2052
2310036O22Rik,2133,2483,2258,2194,1771,1500,1734
2310039H08Rik,105,141,99,91,56,47,71
2310040G24Rik,1,0,1,1,0,0,0
2310043L19Rik,1,2,0,2,21,2,18
2310043M15Rik,0,2,0,1,3,2,2
2310043O21Rik,0,0,0,0,1,0,1
2310044K18Rik,15,11,6,11,5,4,13
2310045N01Rik,755,937,808,902,687,584,734
2310047D07Rik,3,2,1,0,1,0,1
2310047M10Rik,497,492,420,447,352,302,307
2310057M21Rik,154,198,181,153,193,196,199
2310058D17Rik,50,51,51,64,30,26,40
2310061I04Rik,456,571,516,518,506,458,542
2310067B10Rik,2679,2719,2580,2827,2574,2398,2815
2310068J16Rik,0,1,0,1,2,0,1
2310069G16Rik,0,0,0,0,0,1,0
2310075C17Rik,0,0,0,0,0,0,0
2410002F23Rik,1152,1122,1074,1073,924,867,1006
2410003L11Rik,2,0,1,2,6,6,7
2410004B18Rik,333,335,348,313,297,243,302
2410004P03Rik,18,9,19,23,10,7,13
2410006H16Rik,692,987,836,860,694,614,703
2410012M07Rik,0,0,0,0,0,0,0
2410015M20Rik,709,913,744,733,493,406,484
2410016O06Rik,550,580,532,554,343,292,355
2410017I17Rik,0,0,0,0,1,1,0
2410018L13Rik,0,0,0,3,17,26,31
2410022M11Rik,96,92,75,82,73,82,105
2410080I02Rik,0,1,1,0,0,0,0
2410089E03Rik,1155,843,1053,974,1089,930,1134
2410127L17Rik,75,66,69,67,66,45,64
2410131K14Rik,456,478,463,474,427,382,438
2500002B13Rik,8,15,17,8,13,5,15
2500004C02Rik,49,65,41,47,44,32,51
2510002D24Rik,478,612,505,534,450,455,555
2510009E07Rik,331,261,274,239,154,198,176
2510039O18Rik,1970,2040,1924,1878,1608,1297,1474
2510046G10Rik,19,27,14,18,17,9,11
2600006K01Rik,0,1,4,1,0,0,0
2600014E21Rik,3,7,0,3,0,0,0
2610001J05Rik,530,613,508,500,425,333,439
2610002J02Rik,982,1146,981,952,825,675,872
2610002M06Rik,1049,1109,1047,1009,801,738,834
2610005L07Rik,76,52,59,53,94,104,67
2610008E11Rik,869,879,848,868,792,833,952
2610015P09Rik,196,200,188,162,228,188,246
2610016A17Rik,0,0,0,0,0,0,0
2610020C07Rik,15,14,13,14,5,8,15
2610020H08Rik,212,268,248,254,342,347,410
2610021A01Rik,681,603,620,691,578,549,677
2610024D14Rik,1,2,1,0,3,2,2
2610027K06Rik,0,0,0,0,0,0,0
2610034B18Rik,3,1,0,0,0,1,0
2610035D17Rik,938,1157,711,799,611,619,811
2610037D02Rik,39,26,42,39,42,51,61
2610042L04Rik,24,40,22,31,18,43,14
2610044O15Rik8,512,465,476,463,325,272,352
2610203C22Rik,0,0,0,0,0,0,0
2610204G07Rik,217,169,185,159,193,176,255
2610206C17Rik,5,4,3,4,4,2,3
2610301B20Rik,415,359,400,336,315,228,326
2610305D13Rik,0,0,0,0,1,1,0
2610306M01Rik,49,34,34,35,31,20,31
2610307P16Rik,3,6,4,4,2,5,3
2610318N02Rik,38,38,32,30,32,27,37
2610507B11Rik,5309,4639,4842,4893,4768,4417,5016
2610507I01Rik,143,110,124,120,129,106,116
2610509F24Rik,0,0,1,0,1,0,1
2610524H06Rik,235,202,189,171,121,115,127
2610528A11Rik,2,1,1,1,0,3,1
2700012I20Rik,7,7,3,8,5,3,5
2700016F22Rik,2,5,1,3,3,2,4
2700029M09Rik,553,589,491,503,535,438,576
2700038G22Rik,19,37,41,48,16,24,21
2700046G09Rik,6,7,8,1,6,5,4
2700049A03Rik,456,408,361,446,333,288,350
2700060E02Rik,1280,1600,1304,1321,942,834,968
2700062C07Rik,231,301,224,246,194,209,247
2700068H02Rik,0,0,0,0,1,0,0
2700078F05Rik,0,0,0,0,0,0,0
2700081O15Rik,20,14,24,8,35,18,35
2700094K13Rik,296,385,302,306,192,156,207
2700097O09Rik,289,266,284,269,368,277,370
2700099C18Rik,43,28,37,32,34,42,56
2810001G20Rik,101,154,124,143,59,52,73
2810002D19Rik,154,169,137,153,42,41,60
2810004N23Rik,364,370,327,387,294,240,296
2810006K23Rik,198,252,193,214,135,129,198
2810013P06Rik,225,290,212,244,224,209,233
2810021J22Rik,388,433,438,468,389,398,439
2810025M15Rik,1,6,0,0,0,0,1
2810029C07Rik,35,18,14,22,15,14,11
2810030D12Rik,2,0,1,0,1,0,1
2810032G03Rik,0,0,0,0,0,0,0
2810039B14Rik,128,132,137,136,149,94,149
2810402E24Rik,111,98,86,109,88,78,84
2810403A07Rik,2387,2206,2185,2397,2110,1908,2297
2810403D21Rik,76,61,83,60,32,25,33
2810404F17Rik,0,0,0,1,0,0,0
2810405F17Rik,6,19,8,16,9,7,9
2810407A14Rik,1,2,0,0,0,0,1
2810408A11Rik,21,34,36,26,21,27,25
2810408I11Rik,4,5,5,4,6,3,3
2810410L24Rik,1,0,0,0,0,2,0
2810414N06Rik,46,25,30,25,3,7,2
2810417H13Rik,107,82,62,83,31,35,61
2810425M01Rik,0,3,1,0,0,0,0
2810428I15Rik,403,486,367,434,322,271,341
2810429I04Rik,42,29,48,44,45,50,62
2810433D01Rik,0,0,0,0,0,0,0
2810442N19Rik,0,0,0,0,0,1,0
2810454H06Rik,25,35,24,29,40,60,80
2810455O05Rik,42,49,44,50,40,31,52
2810459M11Rik,2,2,0,0,0,2,0
2810468N07Rik,13,15,19,17,30,11,19
2810474O19Rik,2877,3103,3078,3196,3263,2689,3076
2900005J15Rik,67,59,61,56,71,80,83
2900009J06Rik,0,0,0,0,0,1,0
2900011O08Rik,1,1,2,1,0,0,0
2900018N21Rik,0,0,0,0,0,0,0
2900026A02Rik,415,289,415,244,319,303,347
2900041M22Rik,7,10,7,11,7,7,5
2900052L18Rik,0,0,0,0,0,0,0
2900052N01Rik,0,0,1,1,0,1,0
2900055J20Rik,0,0,0,0,0,1,0
2900076A07Rik,185,184,166,194,118,110,196
2900079G21Rik,0,0,0,0,0,0,0
2900089D17Rik,3,5,3,2,8,9,11
2900092O11Rik,0,0,0,0,0,0,0
2900093K20Rik,8,14,21,15,6,6,5
2900097C17Rik,171,145,156,130,142,122,120
3000002C10Rik,61,59,62,57,42,36,61
3010001F23Rik,0,0,1,0,0,0,0
3010003L21Rik,9,9,7,8,3,13,6
3010026O09Rik,81,74,56,74,61,54,67
3110001I22Rik,87,116,122,107,98,107,128
3110002H16Rik,1107,1371,1175,1365,1412,1410,1479
3110009E18Rik,46,61,43,45,40,31,44
3110021A11Rik,3,1,0,0,0,0,0
3110040N11Rik,314,363,338,302,280,204,267
3110043O21Rik,306,288,304,305,349,268,328
3110045C21Rik,0,0,2,1,0,0,0
3110052M02Rik,199,184,199,192,201,178,195
3110053B16Rik,90,59,63,76,92,74,68
3110056K07Rik,237,239,226,239,152,123,147
3110057O12Rik,232,249,248,231,219,251,245
3110062G12Rik,0,0,0,2,1,3,1
3110062M04Rik,246,297,272,311,197,167,243
3110067C02Rik,9,7,7,8,3,2,7
3110070M22Rik,9,7,4,5,5,7,5
3110079O15Rik,0,0,0,1,3,0,0
3110080O07Rik,0,0,0,0,0,0,0
3110082I17Rik,61,55,42,51,33,21,25
3110083C13Rik,11,9,8,7,2,4,9
3222401L13Rik,19,19,15,11,7,12,15
3300002I08Rik,35,26,29,19,37,38,46
3300005D01Rik,1,2,1,3,0,1,2
3425401B19Rik,0,0,1,0,5,1,4
3632451O06Rik,0,0,0,0,0,0,0
3632454L22Rik,0,0,0,1,0,0,1
3830403N18Rik,4,12,6,27,15,26,7
3830406C13Rik,798,861,699,754,491,430,523
3830408C21Rik,7,5,5,6,6,7,8
3830432H09Rik,1,0,0,0,1,0,0
3930402G23Rik,0,0,0,0,0,0,0
4430402I18Rik,2,2,4,2,1,3,5
4631405J19Rik,9,2,7,4,2,0,2
4632404H12Rik,283,228,241,269,217,196,264
4632411P08Rik,1,0,5,0,5,0,1
4632415L05Rik,507,450,479,435,345,290,399
4632427E13Rik,44,29,26,49,56,64,79
4632428C04Rik,2,2,2,0,6,2,2
4632428N05Rik,8360,9530,9121,9075,8092,6365,8358
4632433K11Rik,66,64,59,56,76,54,75
4731419I09Rik,2,1,1,0,0,0,0
4732414G09Rik,1,2,0,0,1,0,2
4732419C18Rik,2,7,5,1,3,0,5
4732440D04Rik,123,77,95,124,97,71,112
4732456N10Rik,0,0,0,0,0,0,0
4732463B04Rik,0,0,0,0,0,0,0
4732465J04Rik,11,11,8,9,18,6,9
4732471J01Rik,11,6,11,10,7,8,9
4732487G21Rik,1,0,0,0,0,0,0
4732490B19Rik,7,5,9,4,8,8,10
4732491K20Rik,9,13,14,12,12,13,19
4831440E17Rik,12,6,10,10,4,5,5
4833407H14Rik,86,80,72,70,128,79,100
4833412C05Rik,1,2,1,0,2,0,1
4833412K13Rik,8,5,6,5,18,10,13
4833413E03Rik,2,2,3,0,0,1,2
4833417C18Rik,7,4,4,10,4,10,9
4833418N02Rik,19,12,8,13,13,17,12
4833420G17Rik,1939,1882,1736,1938,2042,2026,2225
4833421G17Rik,0,0,0,0,0,1,0
4833422C13Rik,29,23,13,15,2,3,0
4833422M21Rik,1,0,0,0,0,0,0
